sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2023-12-22;2384,03;2365,09;2377,05;;1;;
2023-12-21;2382,93;2364,94;2375,14;;1;;
2023-12-20;2394,61;2376,72;2390,84;;1;;
2023-12-19;2391,41;2376,86;2384,54;;1;;
2023-12-18;2384,70;2371,53;2374,17;;1;;
2023-12-15;2395,44;2373,35;2386,43;;1;;
2023-12-14;2369,17;2351,50;2365,25;;1;;
2023-12-13;2343,26;2322,75;2322,75;;1;;
2023-12-12;2343,29;2331,92;2334,73;;1;;
2023-12-11;2340,31;2312,36;2339,78;;1;;
2023-12-08;2318,94;2286,76;2313,01;;1;;
2023-12-07;2294,16;2279,82;2287,13;;1;;
2023-12-06;2296,33;2265,22;2289,64;;1;;
2023-12-05;2270,27;2249,03;2267,80;;1;;
2023-12-04;2265,19;2248,64;2253,80;;1;;
2023-12-01;2255,21;2236,51;2250,21;;1;;
2023-11-30;2245,15;2227,38;2232,46;;1;;
2023-11-29;2239,51;2212,05;2233,00;;1;;
2023-11-28;2223,41;2209,00;2214,81;;1;;
2023-11-27;2232,52;2219,12;2226,85;;1;;
2023-11-24;2231,50;2222,78;2229,37;;1;;
2023-11-23;2231,59;2213,41;2226,34;;1;;
2023-11-22;2223,21;2202,52;2213,18;;1;;
2023-11-21;2208,52;2192,72;2197,08;;1;;
2023-11-20;2208,97;2192,81;2206,34;;1;;
2023-11-17;2203,83;2181,35;2198,83;;1;;
2023-11-16;2190,28;2167,13;2171,53;;1;;
2023-11-15;2199,03;2173,97;2192,97;;1;;
2023-11-14;2170,00;2121,94;2169,98;;1;;
2023-11-13;2131,07;2116,19;2122,63;;1;;
2023-11-10;2124,53;2102,71;2115,38;;1;;
2023-11-09;2140,20;2112,25;2137,98;;1;;
2023-11-08;2125,12;2102,80;2114,32;;1;;
2023-11-07;2124,89;2107,14;2116,06;;1;;
2023-11-06;2141,23;2112,24;2123,50;;1;;
2023-11-03;2134,05;2120,39;2126,76;;1;;
2023-11-02;2123,11;2086,57;2110,80;;1;;
2023-11-01;2085,97;2060,30;2073,43;;1;;
2023-10-31;2083,61;2059,78;2075,79;;1;;
2023-10-30;2065,68;2048,95;2057,14;;1;;
2023-10-27;2073,94;2042,65;2049,65;;1;;
2023-10-26;2072,24;2036,88;2064,55;;1;;
2023-10-25;2085,20;2055,67;2073,84;;1;;
2023-10-24;2078,47;2050,23;2074,19;;1;;
2023-10-23;2087,75;2051,75;2066,50;;1;;
2023-10-20;2100,98;2076,24;2077,66;;1;;
2023-10-19;2148,74;2117,80;2121,83;;1;;
2023-10-18;2177,98;2142,83;2144,44;;1;;
2023-10-17;2185,60;2154,93;2172,25;;1;;
2023-10-16;2201,56;2177,76;2190,78;;1;;
2023-10-13;2208,87;2185,96;2189,84;;1;;
2023-10-12;2235,90;2208,23;2212,13;;1;;
2023-10-11;2197,20;2182,34;2193,71;;1;;
2023-10-10;2195,07;2154,68;2193,06;;1;;
2023-10-09;2151,19;2130,54;2133,26;;1;;
2023-10-06;2154,02;2127,39;2154,02;;1;;
2023-10-05;2140,01;2118,80;2127,06;;1;;
2023-10-04;2125,01;2104,70;2116,77;;1;;
2023-10-03;2149,22;2121,17;2125,06;;1;;
2023-10-02;2174,25;2135,96;2145,97;;1;;
2023-09-29;2165,04;2144,15;2155,49;;1;;
2023-09-28;2138,58;2119,11;2137,65;;1;;
2023-09-27;2145,46;2126,78;2130,32;;1;;
2023-09-26;2148,98;2124,97;2133,16;;1;;
2023-09-25;2170,80;2141,86;2156,12;;1;;
2023-09-22;2176,87;2162,69;2165,94;;1;;
2023-09-21;2188,63;2170,83;2178,82;;1;;
2023-09-20;2206,98;2177,57;2202,45;;1;;
2023-09-19;2191,18;2170,88;2177,20;;1;;
2023-09-18;2196,43;2182,01;2187,02;;1;;
